Datum;Bolag;Antal annonser;Antal tjanster;Nya annonser 30d;Nya tjanster 30d;Nya annonser 14d;Nya tjanster 14d;Nya annonser 7d;Nya tjanster 7d;Aktivitetstakt % (14d);% heltid;% tills vidare;% lang;% kort;% erfarenhet kravs;Top 3 regioner (totalt);Top 3 regioner (14 dagar);Top 3 yrkesomraden;Top 5 yrkesgrupper
2026-06-26;Friday;139;141;96;96;43;43;20;20;30.9;100.0;97.1;0.0;2.9;100.0;Västra Götalands län (44) | Stockholms län (31) | Östergötlands län (25);Stockholms län (12) | Västra Götalands län (12) | Skåne län (7);Yrken med teknisk inriktning (69) | Data/IT (41) | Bygg och anläggning (7);Ingenjörer och tekniker inom maskinteknik (26) | Mjukvaru- och systemutvecklare m.fl. (23) | Civilingenjörsyrken inom maskinteknik (13) | Ingenjörer och tekniker inom elektroteknik (11) | Ingenjörer och tekniker inom industri, logistik och produktionsplanering (7)
2026-06-26;Gazella;5;5;4;4;1;1;0;0;20.0;100.0;80.0;0.0;20.0;100.0;Stockholms län (5);Stockholms län (1);Administration, ekonomi, juridik (4) | Chefer och verksamhetsledare (1);Controller (2) | Redovisningsekonomer (2) | Ekonomi- och finanschefer (1)
2026-06-26;Insitepart;15;19;9;9;7;7;5;5;46.7;40.0;6.7;0.0;33.3;100.0;Stockholms län (7) | Örebro län (2) | Jönköpings län (2);Stockholms län (4) | Västra Götalands län (1) | Kronobergs län (1);Transport, distribution, lager (14) | Yrken med teknisk inriktning (1);Lager- och terminalpersonal (12) | Truckförare (2) | Ingenjörer och tekniker inom maskinteknik (1)
2026-06-26;Wikan Personal;55;73;51;69;35;45;21;23;63.6;94.5;49.1;0.0;47.3;100.0;Skåne län (23) | Kronobergs län (11) | Jönköpings län (5);Skåne län (12) | Kronobergs län (9) | Jönköpings län (4);Industriell tillverkning (24) | Transport, distribution, lager (10) | Bygg och anläggning (7);Maskinställare och maskinoperatörer, metallarbete (9) | Lager- och terminalpersonal (6) | Lastbilsförare m.fl. (3) | Montörer, träprodukter (2) | Svetsare och gasskärare (2)
2026-06-26;Konsultia;51;105;48;93;33;67;20;40;64.7;96.1;19.6;0.0;76.5;100.0;Norrbottens län (20) | Västra Götalands län (13) | Västerbottens län (7);Norrbottens län (14) | Västra Götalands län (11) | Västerbottens län (4);Industriell tillverkning (18) | Transport, distribution, lager (11) | Installation, drift, underhåll (8);Maskinställare och maskinoperatörer, metallarbete (8) | Lager- och terminalpersonal (4) | Montörer, elektrisk och elektronisk utrustning (4) | Personal- och HR-specialister (4) | Lastbilsförare m.fl. (3)
2026-06-27;Manpower;48;216;46;212;26;122;15;65;54.2;64.6;18.8;0.0;47.9;100.0;Västra Götalands län (16) | Skåne län (6) | Västmanlands län (6);Västra Götalands län (11) | Skåne län (4) | Stockholms län (3);Industriell tillverkning (16) | Transport, distribution, lager (10) | Administration, ekonomi, juridik (8);Lager- och terminalpersonal (4) | Kundtjänstpersonal (3) | Företagssäljare (3) | Montörer, elektrisk och elektronisk utrustning (3) | Truckförare (3)
2026-06-27;Lernia;183;209;134;138;97;97;28;28;53.0;88.5;16.9;0.0;72.7;100.0;Västra Götalands län (55) | Hallands län (26) | Jönköpings län (21);Västra Götalands län (29) | Hallands län (14) | Jönköpings län (12);Industriell tillverkning (70) | Transport, distribution, lager (37) | Installation, drift, underhåll (25);Maskinställare och maskinoperatörer, metallarbete (22) | Truckförare (21) | Underhållsmekaniker och maskinreparatörer (13) | Lager- och terminalpersonal (12) | Betongarbetare (9)
2026-06-27;Adecco;151;276;145;257;75;130;49;81;49.7;87.4;30.5;0.0;59.6;100.0;Västra Götalands län (36) | Skåne län (18) | Stockholms län (18);Västra Götalands län (16) | Stockholms län (15) | Västmanlands län (9);Yrken med teknisk inriktning (33) | Industriell tillverkning (32) | Administration, ekonomi, juridik (28);Ingenjörer och tekniker inom maskinteknik (16) | Övriga kontorsassistenter och sekreterare (8) | Maskinställare och maskinoperatörer, metallarbete (7) | Truckförare (6) | Inköpare och upphandlare (6)
2026-06-27;Perido;18;18;18;18;9;9;6;6;50.0;88.9;27.8;0.0;72.2;100.0;Västra Götalands län (7) | Östergötlands län (4) | Stockholms län (3);Västra Götalands län (4) | Östergötlands län (2) | Gävleborgs län (1);Försäljning, inköp, marknadsföring (5) | Administration, ekonomi, juridik (5) | Yrken med teknisk inriktning (4);Företagssäljare (2) | Inköpare och upphandlare (2) | Ingenjörer och tekniker inom maskinteknik (2) | Fastighetsförvaltare (1) | Personal- och HR-specialister (1)
2026-06-27;Randstad;177;336;122;205;70;123;45;63;39.5;99.4;35.0;0.0;64.4;100.0;Västra Götalands län (59) | Östergötlands län (29) | Stockholms län (26);Västra Götalands län (22) | Stockholms län (13) | Östergötlands län (7);Installation, drift, underhåll (28) | Yrken med teknisk inriktning (27) | Administration, ekonomi, juridik (24);Underhållsmekaniker och maskinreparatörer (14) | Maskinställare och maskinoperatörer, metallarbete (13) | Civilingenjörsyrken inom maskinteknik (10) | Lager- och terminalpersonal (8) | Företagssäljare (7)
2026-06-27;Academic Work;355;355;257;257;121;121;78;78;34.1;88.5;11.5;0.0;88.5;100.0;Stockholms län (118) | Skåne län (51) | Västra Götalands län (41);Stockholms län (43) | Skåne län (12) | Västra Götalands län (12);Administration, ekonomi, juridik (85) | Data/IT (75) | Yrken med teknisk inriktning (62);Mjukvaru- och systemutvecklare m.fl. (33) | Kundtjänstpersonal (17) | Företagssäljare (16) | Övriga kontorsassistenter och sekreterare (16) | Ingenjörer och tekniker inom elektroteknik (15)
2026-06-27;Studentconsulting;175;600;156;537;85;218;57;176;48.6;69.7;0.0;0.0;100.0;100.0;Skåne län (34) | Västra Götalands län (23) | Östergötlands län (23);Skåne län (19) | Västra Götalands län (12) | Stockholms län (9);Transport, distribution, lager (76) | Administration, ekonomi, juridik (32) | Försäljning, inköp, marknadsföring (25);Lager- och terminalpersonal (31) | Lastbilsförare m.fl. (23) | Truckförare (12) | Telefonförsäljare m.fl. (10) | Kundtjänstpersonal (10)
2026-06-27;Poolia;70;73;67;70;49;50;26;27;70.0;51.4;34.3;0.0;18.6;100.0;Östergötlands län (18) | Skåne län (11) | Stockholms län (9);Östergötlands län (11) | Stockholms län (8) | Skåne län (7);Administration, ekonomi, juridik (25) | Försäljning, inköp, marknadsföring (14) | Data/IT (11);Inköpare och upphandlare (6) | Personal- och HR-specialister (5) | Ekonomiassistenter m.fl. (5) | Systemförvaltare m.fl. (4) | Controller (4)
2026-06-27;Uniflex;146;211;112;134;64;66;31;32;43.8;89.0;17.8;0.0;75.3;100.0;Jönköpings län (34) | Västra Götalands län (30) | Stockholms län (15);Västra Götalands län (17) | Jönköpings län (10) | Stockholms län (9);Industriell tillverkning (59) | Transport, distribution, lager (41) | Installation, drift, underhåll (14);Lager- och terminalpersonal (26) | Truckförare (11) | Maskinställare och maskinoperatörer, metallarbete (9) | Montörer, metall-, gummi- och plastprodukter (8) | Montörer, elektrisk och elektronisk utrustning (7)
2026-06-27;OnePartnerGroup;150;231;132;201;78;120;38;65;52.0;94.0;90.0;0.0;9.3;100.0;Jönköpings län (34) | Västra Götalands län (25) | Kronobergs län (14);Västra Götalands län (16) | Norrbottens län (9) | Jönköpings län (9);Industriell tillverkning (39) | Transport, distribution, lager (20) | Försäljning, inköp, marknadsföring (20);Företagssäljare (16) | Lager- och terminalpersonal (11) | Truckförare (7) | Underhållsmekaniker och maskinreparatörer (7) | Maskinställare och maskinoperatörer, metallarbete (6)
2026-06-27;Skill;64;71;57;61;38;42;19;19;59.4;90.6;51.6;0.0;39.1;100.0;Östergötlands län (37) | Västra Götalands län (17) | Jönköpings län (4);Östergötlands län (21) | Västra Götalands län (12) | Jönköpings län (4);Yrken med teknisk inriktning (23) | Industriell tillverkning (15) | Försäljning, inköp, marknadsföring (9);Ingenjörer och tekniker inom maskinteknik (10) | Civilingenjörsyrken inom maskinteknik (6) | Maskinställare och maskinoperatörer, metallarbete (5) | Marknadsanalytiker och marknadsförare m.fl. (4) | Svetsare och gasskärare (3)
2026-06-27;Arena Personal;93;93;66;66;44;44;36;36;47.3;81.7;38.7;0.0;43.0;100.0;Stockholms län (23) | Södermanlands län (23) | Västra Götalands län (10);Södermanlands län (9) | Stockholms län (7) | Skåne län (6);Transport, distribution, lager (73) | Administration, ekonomi, juridik (5) | Chefer och verksamhetsledare (4);Lastbilsförare m.fl. (54) | Lager- och terminalpersonal (11) | Truckförare (6) | Fastighetsskötare (3) | Övriga bil-, motorcykel- och cykelförare (2)
2026-06-27;Tranpenad;36;44;9;9;4;4;3;3;11.1;83.3;44.4;0.0;41.7;100.0;Västra Götalands län (22) | Stockholms län (5) | Uppsala län (4);Västra Götalands län (4);Transport, distribution, lager (27) | Yrken med teknisk inriktning (3) | Chefer och verksamhetsledare (2);Lager- och terminalpersonal (18) | Truckförare (8) | Maskinställare och maskinoperatörer, metallarbete (2) | Ingenjörer och tekniker inom maskinteknik (2) | Övriga administrations- och servicechefer (1)
2026-06-27;Jobandtalent;100;115;66;66;33;33;19;19;33.0;76.0;18.0;0.0;62.0;100.0;Östergötlands län (37) | Stockholms län (21) | Skåne län (10);Stockholms län (8) | Västra Götalands län (6) | Skåne län (6);Transport, distribution, lager (45) | Industriell tillverkning (15) | Installation, drift, underhåll (11);Lastbilsförare m.fl. (27) | Lager- och terminalpersonal (12) | Truckförare (5) | Ingenjörer och tekniker inom industri, logistik och produktionsplanering (3) | Fastighetsskötare (3)
